duration_seconds_int,comments,city,date_posted,longitude,state,duration_seconds,duration_hours,id,shape,datetime,latitude,country
2,Very fast white cigar shape with halo&#44 low altitude&#44 seen 2 times&#44 with second observer.,galveston,2007-02-01,-94.7975,tx,2,2 seconds,8408,cigar,2006-11-01 20:00:00.000000,29.3011111,us
120,small red rectangle in texas,wichita falls,2006-12-14,-98.4930556,tx,120,2 min,8411,rectangle,2006-11-01 23:00:00.000000,33.9136111,us
2700,Round object going north to south over Kingwood&#44 TX.,kingwood,2009-01-10,-95.190299,tx,2700,45 min,8451,circle,2008-11-01 15:00:00.000000,30.057536,
5,Three triangular forms move quickly and in sync before disappearing&#44 planes seemingly chasing it&#33,houston,2008-01-21,-95.3630556,tx,5,4-5 seconds,8457,triangle,2008-01-11 21:00:00.000000,29.7630556,us
30,What looked like a star moved to the right very slowly and  then got dimmer and slowy vanished.,corpus christi,2009-12-12,-97.3961111,tx,30,30 seconds,8480,unknown,2009-11-01 20:00:00.000000,27.8002778,us
3,single green orb-like light zipped forwards and disappeared,post,2009-12-12,-101.3777778,tx,3,3 seconds,8484,light,2009-11-01 20:40:00.000000,33.1908333,us
300,11/1/10  11:00am.     Houston&#44Texas  Duration: 5-minutes  6-silver metallic -balloons,houston,2011-01-05,-95.3630556,tx,300,5 -minutes,8496,other,2010-11-01 11:00:00.000000,29.7630556,us
60,Disc/dome shape object shifted quickly side to side then disappeared.,pasadena,2011-12-12,-95.2088889,tx,60,1 minute,8522,disk,2011-11-01 07:30:00.000000,29.6908333,us
60,Bright metal sphere hovers then disappears near Old River-Winfree&#44 Texas.,old river-winfree,2011-12-12,-94.8325,tx,60,1 minute,8523,sphere,2011-11-01 07:55:00.000000,29.8680556,us
15,Very large&#44 bright white light&#44 not moving&#44 vanished when I looked away.,round mountain,2011-12-12,-98.3444444,tx,15,15 seconds,8544,light,2011-11-01 23:10:00.000000,30.4313889,us
480,Disk shaped object broad daylight pursued by jet,san antonio,2012-01-12,-98.4933333,tx,480,8 minutes,8552,disk,2012-01-11 13:15:00.000000,29.4238889,us
1800,Ball of light seen above full moon while moon was blacked out and then appeared again.,dallas,2012-07-04,-96.8,tx,1800,30 minutes,8580,oval,2012-01-11 21:30:00.000000,32.7833333,us
60,v shaped almost triangles moving across the sky,tomball,2003-11-26,-95.6158333,tx,60,1 minute,8706,triangle,2003-11-12 09:30:00.000000,30.0969444,us
300,I was very delighted to finally find a place to report this object we encountered that evening. My brother&#44 cousin and I were aboard my,galveston,2005-02-22,-94.7975,tx,300,3-5 minutes,8716,cylinder,2004-11-12 02:00:00.000000,29.3011111,us
7200,Bright UFO that changed shape from sphere to triangle and color of bright light&#44 many colors. ((NUFORC Note:  Twinkling star??  PD)),buda,2009-12-12,-97.84,tx,7200,i viewed for 2 hours,8782,changing,2009-11-12 21:30:00.000000,30.0850000,us
600,Bright light falls to ground&#44 changes directions several times&#44 then descends to earth.,denton,2009-12-12,-97.1327778,tx,600,10 mins.,8783,light,2009-11-12 23:15:00.000000,33.2147222,us
60,Star like object with osculating flight path heading N NE South Texas.,cotulla (south of),2012-11-19,-99.2347222,tx,60,1 minute,8829,light,2012-11-12 18:55:00.000000,28.4366667,us
120,Black triangle spotted over highway in the night sky,denton,2000-12-02,-97.1327778,tx,120,2 minutes,8884,triangle,2000-11-13 18:30:00.000000,33.2147222,us
60,I was driving to work north highway 95 at 5:10 am before i reached actual site I atarted to see alot of lights looking like a huge sort,academy,2002-11-20,-97.3413889,tx,60,1 minute,8895,other,2002-11-13 05:10:00.000000,30.9808333,us
3,Flickering stationary orangish/yellowish light seen multiple times and places near Comanche&#44 Texas.,comanche,2002-11-16,-98.6033333,tx,3,3 seconds 3 different tim,8903,light,2002-11-13 20:45:00.000000,31.8972222,us
600,Two sets of four bright&#44 round&#44 evenly-spaced lights flying low over the highway,lake worth,2007-11-28,-97.4447222,tx,600,5-10 minutes,8953,unknown,2007-11-13 20:20:00.000000,32.8047222,us
