track,album-name,artist,release-date,isrc,all-time-rank,track-score,spotify-streams,spotify-playlist-count,spotify-playlist-reach,spotify-popularity,youtube-views,youtube-likes,tiktok-posts,tiktok-likes,tiktok-views,youtube-playlist-reach,apple-music-playlist-count,airplay-spins,siriusxm-spins,deezer-playlist-count,deezer-playlist-reach,amazon-playlist-count,pandora-streams,pandora-track-stations,soundcloud-streams,shazam-counts,tidal-popularity,explicit-track
Gucci Gang,Gucci Gang,Lil Pump,8/31/2017,USWB11701486,"1,189",43.4,"648,757,330","66,961","13,429,975",55,"1,402,505,864","15,657,910","1,404,568","27,119,678","243,585,831","200,186,337",62,"13,516",6,20,"52,013",5,"79,188,658","496,624",,"2,724,063",,1
La Bebe,LPM,Yng Lvcas,12/24/2021,QZTAT2174000,"1,198",43.3,"255,707,376","35,404","4,489,095",64,"132,383,657","926,647","3,955,024","237,343,814","3,229,349,729",,4,"3,835",44,,,2,"1,505,248","8,802",,"1,296,219",,1
Jaded,Endless Summer Vacation,Miley Cyrus,3/10/2023,USSM12209778,"1,197",43.3,"173,349,210","22,117","9,481,406",65,"69,971,780","926,126","12,719","7,349,390","120,314,198","24,140,873",40,"225,522",416,41,"782,200",20,"56,973,358","6,891",,,,1
Bye,Bye,Peso Pluma,5/26/2023,QM6P42321186,"1,196",43.3,"252,239,644","24,974","6,379,185",65,"157,154,307","1,031,138","408,410","96,001,756","1,121,997,176",,35,692,,3,"132,211",11,"18,131,311","9,970",,"415,733",,1
L$d,Deaf 2 Society,Luclover,4/22/2022,QZHN42243265,"1,199",43.3,"34,621,941","15,846","2,877,860",36,"4,019,929","89,953","5,003,856","589,943,665","5,720,070,197","86,746,342",1,261,734,2,"25,486",3,"250,124",597,,"539,017",,1
Wolves,Wolves,Selena Gomez,10/25/2017,USUM71712103,"1,200",43.3,"1,358,424,406","123,735","33,188,573",71,"930,929,767","8,736,302","961,584","29,990,673","253,791,542","360,395,375",116,"104,652",14,53,"382,928",33,"172,588,260","120,004","17,138,164","7,290,982",,0
Scars To Your Beautiful,Know-It-All,Alessia Cara,11/13/2015,USUM71506811,"1,201",43.2,"1,422,563,654","129,568","38,951,634",71,"710,718,042","9,930,759","4,732,710","104,484,107","736,544,909","461,321,746",138,"171,774",288,39,"217,966",26,"462,206,026","174,621","19,565,726","113,684",,0
FRI(END)S,FRI(END)S,V,3/15/2024,USA2P2411822,"1,203",43.2,"196,612,187","3,800","44,868,049",85,"38,102,046","2,794,580",,"2,941","26,700","119,265,847",16,"5,014",95,33,"11,190,250",11,"1,934,224",135,,"226,475",,0
Surface Pressure,Encanto (Original Motion Picture Soundtrack),Jessica Darrow,11/19/2021,USWD12112914,"1,204",43.2,"318,018,082","41,062","14,552,186",65,"580,242,930","3,471,774","103,897","128,850,291","1,100,134,488","67,010,140",35,"2,041",155,1,"10,044",18,"49,383,663","66,811","2,375,505","466,130",,0
Volver Al Futuro,Volver Al Futuro,Oscar Maydon,5/30/2024,QZ9QQ2400330,"1,202",43.2,"25,593,926","1,247","63,521,139",78,"7,493,616","162,691",,,,,18,,,10,"1,604,245",9,"68,326",56,"1,742","33,433",,0
Praise God,Donda,Kanye West,8/29/2021,USUM72116287,"1,208",43.1,"451,323,154","143,071","22,968,843",67,"75,632,640","1,192,980","1,232,812","540,795,852","4,707,280,248","144,247,309",24,"1,395",182,10,"38,020",25,"14,923,065","9,847",,"3,075,257",,0
Friesenjung,Friesenjung,Ski Aggu,5/25/2023,DE1FB2300037,"1,205",43.1,"150,508,549","70,377","9,755,773",70,"31,956,891","485,999",,,,"54,635,920",24,"5,723",,12,"67,068",4,,,,"703,536",,1
El Azul,El Azul - Single,Junior H,2/10/2023,QZ9QQ2300115,"1,206",43.1,"684,103,586","42,304","22,784,674",76,"125,144,381","583,066","433,800","68,202,730","622,470,844","445,229,053",37,112,2,4,"1,164,409",9,"10,305,981","2,327",,"764,296",,0
EARFQUAKE,IGOR,"Tyler, The Creator",5/17/2019,USQX91901111,"1,207",43.1,"962,546,385","198,786","34,308,753",76,"262,134,097","4,025,958","55,093","46,126,757","247,993,418","14,944,702",106,"1,834",1,52,"709,963",38,"10,998,403","48,358","47,720,548","1,242,490",,1
Ya Supï¿½ï¿½rame (En V,Ya Supï¿½ï¿½rame (En Vivo) - Si,Grupo Firme,8/13/2021,QZDQH2148787,"1,210",43,"347,218,974","34,933","16,279,085",57,"662,346,628","2,983,631","163,723","31,953,097","394,751,759","59,180,203",23,"9,924",312,2,"6,546",38,"76,029,663","61,601",,"1,337,426",,0
if u think i'm pretty,if u think i'm pretty,Artemas,10/24/2023,QZTB92397158,"1,212",43,"219,995,278","26,538","17,112,526",78,"25,556,375","392,029","277,500","83,793,501","561,266,399","17,454,770",18,"1,072",42,12,"129,691",10,"284,934",750,,"757,462",,1
Fin de Semana,Fin de Semana,Oscar Maydon,1/13/2023,QZ9QQ2300040,"1,211",43,"568,846,143","38,126","18,723,665",76,"209,204,080","876,672","4,469","2,225,214","19,351,144",,25,275,,4,"1,270,150",8,"26,957,938","5,256","2,173,263","896,673",,0
Everybody (feat. Lil Uzi Vert),Pink Friday 2,Nicki Minaj,12/7/2023,USUM72318678,"1,209",43,"114,947,522","1,384","280,996",,,,,,,,10,"172,988",,,,,,,,,,0
Every Breath You Take,Learned from Love,Bonnie Kimmel,5/26/2017,ES8481701126,"1,215",42.9,,,,,,,,,,,,,,,,,,,,"171,902,000",,0
My Oh My (feat. DaBaby),Romance,Camila Cabello,12/6/2019,USSM11914257,"1,218",42.9,"703,865,912","78,873","23,552,368",68,"344,504,691","5,473,016","1,434,048","288,727,576","2,298,790,080","262,934,830",74,"243,345",170,41,"101,125",21,"136,780,685","92,037","16,327,957","3,703,911",,0
Forever After All,What You See Ain't Always What You Get (Deluxe Edition),Luke Combs,10/23/2020,US6XF2000192,"1,217",42.9,"472,886,929","66,543","14,596,512",70,"247,466,941","1,347,724","412,458","53,390,196","454,676,514","523,499,656",71,"272,994",35,9,"18,449",22,"336,822,010","60,046",,"1,332,172",,0
Fried (She a Vibe),WE DON'T TRUST YOU,Future,3/22/2024,USSM12402032,"1,216",42.9,"33,224,742","8,465","12,808,538",,"6,259,257","65,528",,,,"125,856,157",8,483,,1,83,8,"456,992","1,445","2,864,129","232,391",,1
123 Song,123 Song,D Billions,10/23/2019,FR96X1996525,"1,214",42.9,"628,692",98,"14,910",23,"1,754,170,433","3,004,414",458,"12,632","669,921",,,,,,,,,,,"9,438",,0
Hello (feat. A Boogie Wit da Hoodie),Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,7/20/2020,USUM72014370,"1,213",42.9,"578,061,816","190,490","26,875,379",67,"261,251,373","2,123,833","180,506","25,346,506","259,813,719","4,811,371",28,"34,512",121,10,"7,293",,"111,230,354","29,805",,"2,481,910",,1
Numb,Numb,Marshmello,6/10/2022,USRC12202117,"1,219",42.9,"401,066,217","70,661","51,920,160",69,"54,641,192","657,641",420,"8,253","172,191","2,605,082,758",79,"196,397","2,585",51,"1,008,113",59,"68,018,763","12,536","1,226,486","2,292,241",,0
Ojapiano,Ojapiano - Single,KCee,6/3/2023,QZNJW2329848,"1,222",42.8,"27,444,985","8,182","3,092,737",56,"30,407,112","269,687","2,000,000","36,069,120","619,648,663",,18,"1,210",11,1,"112,183",4,"331,855",165,,"1,476,897",,0
Area Codes,Area Codes,Kaliii,3/17/2023,USAT22301942,"1,220",42.8,"228,240,866","33,819","27,729,274",68,"71,928,705","887,392","431,192","122,679,145","1,249,845,764","501,704,711",37,"90,410","1,642",5,"60,728",33,"16,590,391","20,001",,"1,338,659",,1
Medallo,Hecho En Medellï¿½,Blessd,10/27/2021,COA6W2102282,"1,224",42.8,"452,087,681","66,494","24,042,564",65,"509,694,751","2,049,523","244,300","59,474,554","754,567,803","367,804,074",53,"31,265",145,13,"1,704,398",13,"5,561,332","3,809",,"1,414,880",,1
Domingo Abacaxi Flamingo,Domingo Abacaxi Flamingo,Bolofofos,9/2/2020,CACWV2000813,"1,221",42.8,"12,933,566","1,887","331,053",51,"1,306,329,440","3,311,080","79,148","1,732,260","40,068,889",,,2,,,,,,,,,,0
Riptide,Ministry Of Sound Presents Chillout Sessions XVI,Vance Joy,1/1/2013,AULI01385760,"1,223",42.8,"2,541,833,602","369,150","165,607,442",80,"533,440,453","4,627,060","856,131","383,809,767","3,108,986,398","2,161,449",231,"132,498",171,91,"540,337",70,,,"68,063,923","16,496,792",,0
Ch y la Pizza,Ch y la Pizza,Fuerza Regida,12/1/2022,QZ9QQ2200104,"1,230",42.7,"511,421,362","37,923","17,851,037",75,"265,678,775","844,731","68,003","17,455,943","204,148,897",57,24,227,5,9,"1,456,328",8,"27,745,557","3,997",,"739,587",,1
